379.365,-3122.38,-184.594,-16544
-1084.51,-777.117,2621.87,-14348
-0.807052,-0.577925,-0.121118,-10.3411
713.738,-3067.76,-81.8585,-10354.9
-975.456,-796.963,2658.49,-14075.1
-0.740603,-0.665539,-0.0925429,-10.7119
1275.26,-2877.31,-148.52,754.647
-747.178,-1000.76,2663.54,-12946.3
-0.604314,-0.791759,-0.0890082,-10.1165
1768.22,-2606.58,-79.9353,12002.6
-515.384,-1020.13,2710.72,-10582.4
-0.453793,-0.889721,-0.0496901,-9.01598
2246.17,-2208.64,-62.134,24477.4
-316.161,-1091.08,2713.64,-8334.18
-0.269944,-0.961723,-0.0471142,-7.01217
2592.44,-1790,-48.8682,35535.5
-114.072,-1095.02,2728.03,-5423.57
-0.100616,-0.994335,-0.0342684,-4.72891
2890.6,-1253.12,-37.3055,46750.1
105.251,-1060.63,2741.94,-1799.29
0.0943235,-0.995311,-0.0214366,-1.68246
3126.39,-390.793,-13.3801,59881.2
375.388,-1008.39,2737.97,3538.98
0.370223,-0.928605,-0.0250414,3.72074
